,,,,,,,,
,,,,,,,,
packet_id,date,time,gw1,gw2,gw3,gw4,Loc,Floor
85,"[2023, 5, 3]","[14, 0, 19]",-83,-95,-103,-111,U,2
86,"[2023, 5, 3]","[14, 0, 26]",-,-93,-107,-109,U,2
87,"[2023, 5, 3]","[14, 0, 33]",-85,-95,-106,-112,U,2
88,"[2023, 5, 3]","[14, 0, 40]",-,-90,-102,-109,U,2
89,"[2023, 5, 3]","[14, 1, 34]",-,-79,-75,-94,S1,2
90,"[2023, 5, 3]","[14, 1, 41]",-99,-,-77,-99,S1,2
91,"[2023, 5, 3]","[14, 1, 48]",-101,-,-77,-97,S1,2
92,"[2023, 5, 3]","[14, 1, 55]",-97,-71,-79,-94,S1,2
93,"[2023, 5, 3]","[14, 3, 4]",-,-39,-75,-101,S0,2
94,"[2023, 5, 3]","[14, 3, 11]",-,-40,-75,-100,S0,2
95,"[2023, 5, 3]","[14, 3, 18]",-,-41,-75,-98,S0,2
96,"[2023, 5, 3]","[14, 3, 25]",-,-39,-72,-99,S0,2
97,"[2023, 5, 3]","[14, 4, 4]",-,-63,-73,-95,C,2
98,"[2023, 5, 3]","[14, 4, 11]",-,-70,-75,-97,C,2
99,"[2023, 5, 3]","[14, 4, 18]",-,-65,-71,-106,C,2
100,"[2023, 5, 3]","[14, 4, 25]",-,-67,-70,-96,C,2
101,"[2023, 5, 3]","[14, 5, 35]",-114,-63,-77,-106,N0,2
102,"[2023, 5, 3]","[14, 5, 42]",-,-58,-73,-108,N0,2
103,"[2023, 5, 3]","[14, 5, 49]",-115,-65,-77,-107,N0,2
104,"[2023, 5, 3]","[14, 5, 56]",-,-60,-73,-103,N0,2
105,"[2023, 5, 3]","[14, 7, 6]",-,-84,-87,-106,N1,2
106,"[2023, 5, 3]","[14, 7, 14]",-,-83,-89,-114,N1,2
107,"[2023, 5, 3]","[14, 7, 21]",-,-85,-89,-113,N1,2
108,"[2023, 5, 3]","[14, 7, 28]",-115,-87,-89,-,N1,2
109,"[2023, 5, 3]","[14, 9, 25]",-,-105,-,-,H,2
110,"[2023, 5, 3]","[14, 9, 32]",-,-,-103,-113,H,2
111,"[2023, 5, 3]","[14, 9, 39]",-,-107,-103,-114,H,2
112,"[2023, 5, 3]","[14, 9, 46]",-,-105,-96,-113,H,2
113,"[2023, 5, 3]","[14, 11, 48]",-,-81,-,-,E,2
114,"[2023, 5, 3]","[14, 11, 55]",-,-79,-108,-,E,2
115,"[2023, 5, 3]","[14, 12, 2]",-,-83,-107,-,E,2
116,"[2023, 5, 3]","[14, 12, 9]",-,-85,-101,-,E,2
117,"[2023, 5, 3]","[14, 15, 31]",-,-103,-81,-83,W,2
118,"[2023, 5, 3]","[14, 15, 38]",-,-108,-84,-81,W,2
119,"[2023, 5, 3]","[14, 15, 45]",-,-100,-90,-89,W,2
120,"[2023, 5, 3]","[14, 15, 52]",-114,-101,-87,-85,W,2
121,"[2023, 5, 3]","[14, 19, 13]",-,-109,-99,-112,U,3
122,"[2023, 5, 3]","[14, 19, 20]",-97,-112,-102,-,U,3
123,"[2023, 5, 3]","[14, 19, 27]",-101,-111,-97,-113,U,3
124,"[2023, 5, 3]","[14, 19, 34]",-107,-113,-102,-113,U,3
125,"[2023, 5, 3]","[14, 22, 54]",-109,-105,-95,-113,U,4
126,"[2023, 5, 3]","[14, 23, 1]",-,-,-96,-112,U,4
127,"[2023, 5, 3]","[14, 23, 8]",-108,-107,-101,-113,U,4
128,"[2023, 5, 3]","[14, 23, 15]",-106,-107,-99,-113,U,4
129,"[2023, 5, 3]","[14, 24, 7]",-,-113,-79,-95,S1,4
130,"[2023, 5, 3]","[14, 24, 14]",-113,-97,-82,-94,S1,4
131,"[2023, 5, 3]","[14, 24, 21]",-108,-102,-81,-93,S1,4
132,"[2023, 5, 3]","[14, 24, 28]",-105,-97,-77,-97,S1,4
133,"[2023, 5, 3]","[14, 25, 41]",-,-54,-89,-91,S0,4
134,"[2023, 5, 3]","[14, 25, 48]",-,-54,-83,-89,S0,4
135,"[2023, 5, 3]","[14, 25, 55]",-,-54,-87,-89,S0,4
136,"[2023, 5, 3]","[14, 26, 2]",-,-54,-87,-93,S0,4
137,"[2023, 5, 3]","[14, 27, 4]",-,-72,-76,-87,C,4
138,"[2023, 5, 3]","[14, 27, 11]",-,-71,-79,-88,C,4
139,"[2023, 5, 3]","[14, 27, 18]",-,-74,-79,-85,C,4
140,"[2023, 5, 3]","[14, 27, 25]",-,-71,-78,-87,C,4
141,"[2023, 5, 3]","[14, 31, 4]",-,-97,-81,-84,N0,4
142,"[2023, 5, 3]","[14, 31, 12]",-,-97,-78,-84,N0,4
143,"[2023, 5, 3]","[14, 31, 19]",-,-97,-79,-85,N0,4
144,"[2023, 5, 3]","[14, 31, 26]",-,-94,-73,-78,N0,4
145,"[2023, 5, 3]","[14, 33, 30]",-,-90,-103,-,N1,4
146,"[2023, 5, 3]","[14, 33, 37]",-,-87,-108,-,N1,4
147,"[2023, 5, 3]","[14, 33, 44]",-,-89,-107,-,N1,4
148,"[2023, 5, 3]","[14, 33, 51]",-,-87,-107,-,N1,4
149,"[2023, 5, 3]","[14, 34, 54]",-,-,-108,-,H,4
150,"[2023, 5, 3]","[14, 35, 1]",-,-,-106,-,H,4
151,"[2023, 5, 3]","[14, 35, 9]",-,-113,-106,-,H,4
152,"[2023, 5, 3]","[14, 35, 16]",-,-109,-103,-,H,4
153,"[2023, 5, 3]","[14, 37, 0]",-,-89,-96,-,E,4
154,"[2023, 5, 3]","[14, 37, 7]",-115,-99,-97,-,E,4
155,"[2023, 5, 3]","[14, 37, 14]",-115,-87,-95,-,E,4
156,"[2023, 5, 3]","[14, 37, 21]",-114,-85,-97,-113,E,4
157,"[2023, 5, 3]","[14, 39, 20]",-,-111,-89,-79,W,4
158,"[2023, 5, 3]","[14, 39, 27]",-,-108,-82,-75,W,4
159,"[2023, 5, 3]","[14, 39, 34]",-,-104,-87,-73,W,4
160,"[2023, 5, 3]","[14, 39, 41]",-,-104,-87,-71,W,4
161,"[2023, 5, 3]","[14, 46, 19]",-,-72,-79,-95,S0,3
162,"[2023, 5, 3]","[14, 46, 27]",-115,-71,-82,-96,S0,3
163,"[2023, 5, 3]","[14, 46, 34]",-115,-66,-79,-94,S0,3
164,"[2023, 5, 3]","[14, 46, 41]",-114,-63,-81,-95,S0,3
165,"[2023, 5, 3]","[14, 46, 48]",-114,-65,-89,-101,S0,3
166,"[2023, 5, 3]","[14, 47, 21]",-,-71,-76,-91,C,3
167,"[2023, 5, 3]","[14, 47, 28]",-,-64,-80,-96,C,3
168,"[2023, 5, 3]","[14, 47, 35]",-,-63,-79,-90,C,3
169,"[2023, 5, 3]","[14, 47, 42]",-,-63,-79,-,C,3
170,"[2023, 5, 3]","[14, 47, 49]",-,-61,-73,-91,C,3
171,"[2023, 5, 3]","[14, 48, 45]",-,-81,-78,-95,N0,3
172,"[2023, 5, 3]","[14, 48, 52]",-,-76,-77,-93,N0,3
173,"[2023, 5, 3]","[14, 48, 59]",-,-75,-77,-91,N0,3
174,"[2023, 5, 3]","[14, 49, 6]",-,-73,-84,-94,N0,3
175,"[2023, 5, 3]","[14, 49, 58]",-,-89,-96,-111,N1,3
176,"[2023, 5, 3]","[14, 50, 7]",-,-85,-90,-109,N1,3
177,"[2023, 5, 3]","[14, 50, 14]",-,-87,-89,-112,N1,3
178,"[2023, 5, 3]","[14, 50, 21]",-115,-87,-91,-108,N1,3
179,"[2023, 5, 3]","[14, 51, 24]",-114,-102,-106,-,H,3
180,"[2023, 5, 3]","[14, 51, 31]",-,-103,-107,-115,H,3
181,"[2023, 5, 3]","[14, 51, 39]",-,-99,-105,-113,H,3
182,"[2023, 5, 3]","[14, 51, 46]",-,-103,-107,-,H,3
183,"[2023, 5, 3]","[14, 53, 29]",-,-87,-109,-,E,3
184,"[2023, 5, 3]","[14, 53, 36]",-114,-85,-95,-111,E,3
185,"[2023, 5, 3]","[14, 53, 43]",-,-87,-95,-109,E,3
186,"[2023, 5, 3]","[14, 53, 50]",-113,-87,-96,-112,E,3
187,"[2023, 5, 3]","[14, 55, 42]",-,-108,-87,-71,W,3
188,"[2023, 5, 3]","[14, 55, 49]",-,-107,-85,-71,W,3
189,"[2023, 5, 3]","[14, 55, 56]",-,-103,-85,-69,W,3
190,"[2023, 5, 3]","[14, 56, 3]",-,-108,-85,-71,W,3